data,vazao_m3s
2024-03-21,19412.4
2024-03-22,19555.5
2024-03-23,19627.3
2024-03-24,19974.5
2024-03-25,20164.3
2024-03-26,20281.6
2024-03-27,20414.2
2024-03-28,20666.2
2024-03-29,20815.4
2024-03-30,20935.3
2024-03-31,21055.7
2024-04-01,21267.4
2024-04-02,21449.9
2024-04-03,21618.2
2024-04-04,21787.4
2024-04-05,21972.9
2024-04-06,22128.4
2024-04-07,22284.5
2024-04-08,22425.7
2024-04-09,22614.8
2024-04-10,22789.2
2024-04-11,22948.4
2024-04-12,23236.9
2024-04-13,23527.8
2024-04-14,23706.8
2024-04-15,23903.1
2024-04-16,24232.6
2024-04-17,24498.4
2024-04-18,24749.4
2024-04-19,25035.9
2024-04-20,25222.4
2024-04-21,25426.9
2024-04-22,25632.6
2024-04-23,25804.8
2024-04-24,26047.2
2024-04-25,26343.6
2024-04-26,26501.4
2024-04-27,26677.5
2024-04-28,26854.4
2024-04-29,27014.2
2024-04-30,27210.5
2024-05-01,27353.8
2024-05-02,27533.6
2024-05-03,27714.2
2024-05-04,27895.7
2024-05-05,28077.9
2024-05-06,28224.2
2024-05-07,28444.7
2024-05-08,28647.7
2024-05-09,28796.1
2024-05-10,28926.2
2024-05-11,29094.2
2024-05-12,29281.6
2024-05-13,29469.8
2024-05-14,29639.8
2024-05-15,29848.6
2024-05-16,30134.8
2024-05-17,30461.4
2024-05-18,30809.7
2024-05-19,31141.2
2024-05-20,31435.6
2024-05-21,31712
2024-05-22,31990.1
2024-05-23,32249.8
2024-05-24,32531
2024-05-25,32793.6
2024-05-26,33037.2
2024-05-27,33569.2
2024-05-28,34003
2024-05-29,34315.2
2024-05-30,34692.3
2024-05-31,35051
2024-06-01,35412.1
2024-06-02,35818.7
2024-06-03,36206.7
2024-06-04,36619.3
2024-06-05,36947.3
2024-06-06,37343.4
2024-06-07,37675.7
2024-06-08,37987.6
2024-06-09,38301.2
2024-06-10,38616.5
2024-06-11,38888.1
2024-06-12,39161.1
2024-06-13,39481.1
2024-06-14,39733.7
2024-06-15,39964.4
2024-06-16,40195.9
2024-06-17,40474.9
2024-06-18,40638.2
2024-06-19,40872.3
2024-06-20,41060.3
2024-06-21,41248.8
2024-06-22,41366.9
2024-06-23,41508.9
2024-06-24,41675
2024-06-25,41770.2
2024-06-26,41817.8
2024-06-27,41865.4
2024-06-28,41937
2024-06-29,41984.7
2024-06-30,41984.7
2024-07-01,41937
2024-07-02,41889.3
2024-07-03,41889.3
2024-07-04,41841.6
2024-07-05,41770.2
2024-07-06,41651.3
2024-07-07,41532.6
2024-07-08,41390.5
2024-07-09,41248.8
2024-07-10,41107.3
2024-07-11,40942.7
2024-07-12,40708.4
2024-07-13,40498.2
2024-07-14,40405
2024-07-15,40126.3
2024-07-16,39918.2
2024-07-17,39664.7
2024-07-18,39366.6
2024-07-19,39069.9
2024-07-20,38820.1
2024-07-21,38593.9
2024-07-22,38368.6
2024-07-23,38099.4
2024-07-24,37809.1
2024-07-25,37586.9
2024-07-26,37343.4
2024-07-27,37057
2024-07-28,36772.1
2024-07-29,36532.2
2024-07-30,36315
2024-07-31,36098.6
2024-08-01,35818.7
2024-08-02,35540.2
2024-08-03,35326.9
2024-08-04,34924.1
2024-08-05,34776.5
2024-08-06,34524.3
2024-08-07,34252.6
2024-08-08,33982.3
2024-08-09,33651.5
2024-08-10,33322.9
2024-08-11,33077.9
2024-08-12,32793.6
2024-08-13,32450.5
2024-08-14,32129.8
2024-08-15,31791.3
2024-08-16,31376.6
2024-08-17,30926.5
2024-08-18,30480.7
2024-08-19,30001
2024-08-20,29526.4
2024-08-21,29038.2
2024-08-22,28536.9
2024-08-23,27986.7
2024-08-24,27497.6
2024-08-25,26925.3
2024-08-26,26361.1
2024-08-27,25787.6
2024-08-28,25188.4
2024-08-29,24581.9
2024-08-30,23919.5
2024-08-31,23220.8
2024-09-01,22614.8
2024-09-02,21972.9
2024-09-03,21297.7
2024-09-04,20710.9
2024-09-05,20149.6
2024-09-06,19641.7
2024-09-07,19170.7
2024-09-08,18707.3
2024-09-09,18320
2024-09-10,17911
2024-09-11,17521.5
2024-09-12,17150.8
2024-09-13,16759.5
2024-09-14,16412.4
2024-09-15,16045.1
2024-09-16,15683.2
2024-09-17,15314.6
2024-09-18,14927.9
2024-09-19,14583.1
2024-09-20,14197.3
2024-09-21,13875.3
2024-09-22,13502.1
2024-09-23,13234.9
2024-09-24,12927.7
2024-09-25,12689.7
2024-09-26,12454.6
2024-09-27,12180.5
2024-09-28,11962.1
2024-09-29,11715.8
2024-09-30,11503
2024-10-01,11312.7
2024-10-02,11104.9
2024-10-03,10909.3
2024-10-04,10754.5
2024-10-05,10658.5
2024-10-06,10629.8
2024-10-07,10706.4
2024-10-08,10822
2024-10-09,10987.2
2024-10-10,11173.9
2024-10-11,11352.6
2024-10-12,11503
2024-10-13,11604
2024-10-14,11685.2
2024-10-15,11715.8
2024-10-16,11685.2
2024-10-17,11614.1
2024-10-18,11513.1
2024-10-19,11392.6
2024-10-20,11233.2
2024-10-21,11036.1
2024-10-22,10851.1
2024-10-23,10648.9
2024-10-24,10449.3
2024-10-25,10270.9
2024-10-26,10103.7
2024-10-27,9956.64
2024-10-28,9838.21
2024-10-29,9711.73
2024-10-30,9604.18
2024-10-31,9479.72
2024-11-01,9382.68
2024-11-02,9321.28
2024-11-03,9286.31
2024-11-04,9260.14
2024-11-05,9260.14
2024-11-06,9356.33
2024-11-07,9470.87
2024-11-08,9470.87
2024-11-09,9488.57
2024-11-10,9488.57
2024-11-11,9488.57
2024-11-12,9479.72
2024-11-13,9470.87
2024-11-14,9488.57
2024-11-15,9488.57
2024-11-16,9506.3
2024-11-17,9559.61
2024-11-18,9524.05
2024-11-19,9453.19
2024-11-20,9391.48
2024-11-21,9400.28
2024-11-22,9462.03
2024-11-23,9524.05
2024-11-24,9595.26
2024-11-25,9684.77
2024-11-26,9774.83
2024-11-27,9865.46
2024-11-28,9956.64
2024-11-29,10011.6
2024-11-30,10057.6
2024-12-01,10094.5
2024-12-02,10131.4
2024-12-03,10159.2
2024-12-04,10159.2
2024-12-05,10159.2
2024-12-06,10131.4
2024-12-07,10094.5
2024-12-08,10057.6
2024-12-09,9993.27
2024-12-10,9920.1
2024-12-11,9847.29
2024-12-12,9774.83
2024-12-13,9711.73
2024-12-14,9675.79
2024-12-15,9684.77
2024-12-16,9666.82
2024-12-17,9657.86
2024-12-18,9666.82
2024-12-19,9729.73
2024-12-20,9811.02
2024-12-21,9883.65
2024-12-22,9993.27
2024-12-23,10103.7
2024-12-24,10252.2
2024-12-25,10430.4
2024-12-26,10601.2
2024-12-27,10793
2024-12-28,10977.5
2024-12-29,11154.1
2024-12-30,11382.6
2024-12-31,11634.4
2025-01-01,11910.5
2025-01-02,12243.4
2025-01-03,12571.8
2025-01-04,12916.8
2025-01-05,13345.8
2025-01-06,13738.8
2025-01-07,14127.8
2025-01-08,14500.7
2025-01-09,14880
2025-01-10,15193.1
2025-01-11,15522.8
2025-01-12,15844.7
2025-01-13,16145.8
2025-01-14,16412.4
2025-01-15,16669.1
2025-01-16,16941.4
2025-01-17,17190.3
2025-01-18,17428.3
2025-01-19,17641.8
2025-01-20,17830
2025-01-21,17965.2
2025-01-22,18128.4
2025-01-23,18251.4
2025-01-24,18471.5
2025-01-25,18582.2
2025-01-26,18637.7
2025-01-27,18665.5
2025-01-28,18679.4
2025-01-29,18679.4
2025-01-30,18610
2025-01-31,18540.6
2025-02-01,18416.3
2025-02-02,18278.8
2025-02-03,18155.7
2025-02-04,18060.3
2025-02-05,18101.1
2025-02-06,18046.7
2025-02-07,18087.5
2025-02-08,18128.4
2025-02-09,18306.3
2025-02-10,18375
2025-02-11,18526.8
2025-02-12,18665.5
2025-02-13,18846.9
2025-02-14,19085.9
2025-02-15,19426.7
2025-02-16,19728.2
2025-02-17,19989.1
2025-02-18,20355.2
2025-02-19,20666.2
2025-02-20,20995.4
2025-02-21,21358.5
2025-02-22,21772
2025-02-23,22190.7
2025-02-24,22662.3
2025-02-25,23092.4
2025-02-26,23544.1
2025-02-27,23952.3
2025-02-28,24315.5
2025-03-01,24648.8
2025-03-02,24934.5
2025-03-03,25205.4
2025-03-04,25581.1
2025-03-05,25908.5
2025-03-06,26134.2
2025-03-07,26378.6
2025-03-08,26659.9
2025-03-09,26925.3
2025-03-10,27049.8
2025-03-11,27264.1
2025-03-12,27407.6
2025-03-13,27515.6
2025-03-14,27641.9
