data,vazao_m3s
2018-08-13,34067.9
2018-08-14,33696.7
2018-08-15,33450.4
2018-08-16,33205
2018-08-17,32899.7
2018-08-18,32595.8
2018-08-19,32233
2018-08-20,31872.5
2018-08-21,31454.5
2018-08-22,31098.5
2018-08-23,30627.1
2018-08-24,30101.3
2018-08-25,29522.8
2018-08-26,29007
2018-08-27,28496.1
2018-08-28,28045.9
2018-08-29,27599.5
2018-08-30,27211.9
2018-08-31,26882
2018-09-01,26991.8
2018-09-02,26336.9
2018-09-03,26282.7
2018-09-04,26282.7
2018-09-05,26228.5
2018-09-06,26120.4
2018-09-07,26120.4
2018-09-08,26066.5
2018-09-09,25905
2018-09-10,25690.4
2018-09-11,25583.5
2018-09-12,25423.5
2018-09-13,25317.2
2018-09-14,25105.2
2018-09-15,24789
2018-09-16,24318.6
2018-09-17,23852.9
2018-09-18,23290.1
2018-09-19,22734.4
2018-09-20,22235.3
2018-09-21,21791
2018-09-22,21448.7
2018-09-23,21157.6
2018-09-24,20916.6
2018-09-25,20629.3
2018-09-26,20296.7
2018-09-27,19920.1
2018-09-28,19408.3
2018-09-29,18949.1
2018-09-30,18315.9
2018-10-01,17870.4
2018-10-02,17562.1
2018-10-03,17126.4
2018-10-04,16653.8
2018-10-05,16146.1
2018-10-06,15482
2018-10-07,14781.7
2018-10-08,14025.1
2018-10-09,13691.5
2018-10-10,13483.8
2018-10-11,13152.8
2018-10-12,12659.5
2018-10-13,12210.7
2018-10-14,11846
2018-10-15,11563.9
2018-10-16,11323.2
2018-10-17,11163.3
2018-10-18,11003.9
2018-10-19,10805.3
2018-10-20,10646.9
2018-10-21,10567.9
2018-10-22,10686.4
2018-10-23,10805.3
2018-10-24,10844.9
2018-10-25,10805.3
2018-10-26,10884.6
2018-10-27,10964.1
2018-10-28,11043.7
2018-10-29,11123.4
2018-10-30,11243.2
2018-10-31,11283.2
2018-11-01,11203.2
2018-11-02,11083.5
2018-11-03,11003.9
2018-11-04,10924.3
2018-11-05,10844.9
2018-11-06,10765.6
2018-11-07,10726
2018-11-08,10646.9
2018-11-09,10528.4
2018-11-10,10528.4
2018-11-11,10489
2018-11-12,10410.2
2018-11-13,10331.6
2018-11-14,10292.3
2018-11-15,10292.3
2018-11-16,10331.6
2018-11-17,10331.6
2018-11-18,10292.3
2018-11-19,10292.3
2018-11-20,10292.3
2018-11-21,10331.6
2018-11-22,10410.2
2018-11-23,10844.9
2018-11-24,11283.2
2018-11-25,11886.4
2018-11-26,12373.5
2018-11-27,12905.7
2018-11-28,13400.9
2018-11-29,13816.4
2018-11-30,14192.6
2018-12-01,14612.9
2018-12-02,15033.9
2018-12-03,15318.2
2018-12-04,15564.2
2018-12-05,15937
2018-12-06,16483.6
